,address1,address2,city,id,resource_uri,state,venue_name,zipcode
26,8611 Country Club Drive,,Bethesda,90,/api/v1/venue/90/,MD,Smith Residence,20817
27,224 D Street SE,,Washington,91,/api/v1/venue/91/,DC,Sons of the American Legion Kenneth H. Nash Post 8,20003
28,237 Pennsylvania Ave SE,House Side,Washington,94,/api/v1/venue/94/,DC,Starbucks on Capitol Hill,20003
29,330 Maryland Ave NE,,Washington,95,/api/v1/venue/95/,DC,Online Lenders Alliance (OLA) Townhouse,20002
30,1525 32nd Street NW,,Washington,98,/api/v1/venue/98/,DC,,20007
31,6023 Fort Hunt Road,,Alexandria,100,/api/v1/venue/100/,VA,Belle Haven Country Club,22307
32,1201 New York Ave NW,,Washington,103,/api/v1/venue/103/,DC,Bobby Van's Grill ,20005
33,412 First Street SE,Suite 100,Washington,104,/api/v1/venue/104/,DC,The Dutko Group,20003
34,328 Lenox Ave,,New York,105,/api/v1/venue/105/,NY,Sylvia's,10027
35,200 Maryland Ave NE,,Washington,108,/api/v1/venue/108/,DC,,20002
36,101 Constitution Ave NW,Suite 400 West,Washington,111,/api/v1/venue/111/,DC,Altria,20001
37,1 Turtle Point Drive,,Gainesville,113,/api/v1/venue/113/,VA,Robert Trent Jones Golf Club,20155
38,80 Compromise St,,Annapolis,115,/api/v1/venue/115/,MD,Annapolis Marriott Dock,21401
39,101 Constitution Ave NW,Suite 675 East,Washington,119,/api/v1/venue/119/,DC,Capitol Decisions Inc,20001
40,410 First Street SE,,Washington,125,/api/v1/venue/125/,DC,National Rifle Association,20003
41,499 South Capitol Street SW,,Washington,128,/api/v1/venue/128/,DC,,20003
42,210 A Street NE,,Washington,129,/api/v1/venue/129/,DC,,20002
43,1700 Army Navy Drive,,Arlington,131,/api/v1/venue/131/,VA,Army Navy Golf Club,22202
44,1101 New York Ave NW,8th Floor,Washington,132,/api/v1/venue/132/,DC,Securities Industry and Financial Markets Association (SIFMA),20005
45,403 East Capitol Street SE,,Washington,134,/api/v1/venue/134/,DC,The Fluor Townhouse,20003
46,400 N Capitol St NW,#450,Washington,135,/api/v1/venue/135/,DC,American Gas Association,20001
47,101 Constitution Ave NW,,Washington,141,/api/v1/venue/141/,DC,United Brotherhood of Carpenters and Joiners of America,20001
48,1301 Pennsylvania Ave NW,Suite 1100,Washington,145,/api/v1/venue/145/,DC,ATA's Offices,20004
49,430 First Street SE,,Washington,150,/api/v1/venue/150/,DC,American Trucking Association Townhouse,20003
50,720 South Michigan Ave,,Chicago,152,/api/v1/venue/152/,IL,Hilton Chicago,60605
51,21 West 52nd Street,,New York,156,/api/v1/venue/156/,NY,21 Club,10019
52,408 3rd Street SE,,Washington,158,/api/v1/venue/158/,DC,The Berry Residence,20001
53,800 Connecticut Ave NW,,Washington,159,/api/v1/venue/159/,DC,The Oval Room,20006
54,225 7th Street SE,,Washington,160,/api/v1/venue/160/,DC,The Eastern Market,20003
55,"51 Louisiana Ave, NW",,Washington,164,/api/v1/venue/164/,DC,Jones Day,20001
56,660 Pennsylvania Ave SE,Suite 201,Washington,165,/api/v1/venue/165/,DC,Alpine Group,20003
57,1101 Pennsylvania Ave NW,Suite 700,Washington,170,/api/v1/venue/170/,DC,Fabiani & Company,20004
58,1455 Pennsylvania Ave NW,Suite 600,Washington,172,/api/v1/venue/172/,DC,,20004
59,101 Constitution Ave NW,Suite 500 East,Washington,182,/api/v1/venue/182/,DC,National Mining Association,20001
60,575 7th Street NW,,Washington,184,/api/v1/venue/184/,DC,"Alexa Government Relations, LLC",20004
61,1308 Rhode Island Ave NW,,Washington,188,/api/v1/venue/188/,DC,The Home of Mrs. Kimberly Bellissimo-Adkins,20005
62,400 N Capitol St NW,,Washington,191,/api/v1/venue/191/,DC,,20001
63,,,Russell,192,/api/v1/venue/192/,KS,,
64,750 17th Street NW,Suite 1000,Washington,194,/api/v1/venue/194/,DC,Husch Blackwell Sanders LLP,20006
65,310 1st St SE,First Floor,Washington,197,/api/v1/venue/197/,DC,RNC Montana Conference Room,20003
66,226 E Street NE,,Washington,198,/api/v1/venue/198/,DC,Home of Theodore Macklin,20002
67,456 N Street SW,,Washington,199,/api/v1/venue/199/,DC,The Lewis House,20024
68,2550 M Street NW,,Washington,200,/api/v1/venue/200/,DC,Patton Boggs LLP,20037
69,701 14th Street NW,,Washington,201,/api/v1/venue/201/,DC,Ceiba,20005
70,2020 P St NW,,Washington,202,/api/v1/venue/202/,DC,Mark & Orlando's,20036
71,601 Pennsylvania Ave NW,Suite 325N,Washington,209,/api/v1/venue/209/,DC,,20004
72,410 First Street SE,,Washington,212,/api/v1/venue/212/,DC,Bullfeathers of Capitol Hill,20003
73,1401 K Street NW,12th floor,Washington,213,/api/v1/venue/213/,DC,,20005
74,101 Constitution Ave NW,Suite 675 East,Washington,216,/api/v1/venue/216/,DC,Capitol Tax Partners,20001
75,50 F Street NW,9th floor,Washington,217,/api/v1/venue/217/,DC,USA Rice Federation,
76,12 West 45th St,,New York,219,/api/v1/venue/219/,NY,Nation,20019
77,1331 F Street NW,,Washington,223,/api/v1/venue/223/,DC,Shelley's Back Room,20004
78,234 3rd St Ne,,Washington,233,/api/v1/venue/233/,DC,116 Club,20002
79,1200 19th Street NW,,Washington,234,/api/v1/venue/234/,DC,Offices of DLA Piper Rudnick Gray Cary,20036
80,9526 Doctor Perry Road,,Ijamsville,235,/api/v1/venue/235/,MD,PB Dye Golf Club,21754
81,1909 K St NW,,Washington,239,/api/v1/venue/239/,DC,Teatro Goldoni,20006
82,41601 Raspberry Drive,,Leesburg,242,/api/v1/venue/242/,VA,Raspberry Falls Golf & Hunt Club,20176
83,210 West 55th Street,,New York,246,/api/v1/venue/246/,NY,Dream Hotel,10019
84,319 Constitution Ave NE,,Washington,252,/api/v1/venue/252/,DC,"Law Offices of Frederick H. Graefe, PLLC",20002
85,15 E Street NW,,Washington,255,/api/v1/venue/255/,DC,Hotel George,20001
86,700 New Hampshire Ave NW,Apartment 114,Washington,259,/api/v1/venue/259/,DC,Home of Elizabeth Dole,20037
87,600 Water Street SW,,Washington,264,/api/v1/venue/264/,DC,Cantina Marina,20024
88,1601 K Street NW,,Washington,266,/api/v1/venue/266/,DC,,
89,112 Price Lane,,Bellevue,269,/api/v1/venue/269/,ID,Silver Springs Angus Ranch,83313
90,1133 Connecticut Ave NW,,Washington,272,/api/v1/venue/272/,DC,Quinn Gillespie & Associates,20036
91,575 7th Street NW,,Washington,283,/api/v1/venue/283/,DC,Rosa Mexicano,20004
92,400 New Jersey Ave NW,,Washington,284,/api/v1/venue/284/,DC,Hyatt Regency Washington on Capitol Hill,20001
93,100 Park Boulevard,,San Diego,285,/api/v1/venue/285/,CA,Petco Park,92101
94,2790 County Route 16,,Watkins Glen,292,/api/v1/venue/292/,NY,Watkins Glen International,14891
95,5410 Seneca Point Road,,Canandaigua,294,/api/v1/venue/294/,NY,Bristol Harbour Resort,14424
96,115 South 2nd Street,,Coeur d'Alene,304,/api/v1/venue/304/,ID,Coeur d'Alene Resort Golf and Spa Resort,83814
97,1736 L Street NW,,Washington,305,/api/v1/venue/305/,DC,Spezie Ristorante,20036
98,9603 Lee Hwy,,Ooltewah,306,/api/v1/venue/306/,TN,Honors Course Golf Course,37363
99,1001 Pennsylvania Ave NW,,Washington,307,/api/v1/venue/307/,DC,Central Michel Richard,20004
100,101 Constitution Ave NW,Suite 900,Washington,310,/api/v1/venue/310/,DC,c2 Group,20001
101,101 Constitution Ave NW,10th Floor,Washington,312,/api/v1/venue/312/,DC,,20001
102,1730 Pennsylvania Ave NW,Roof Terrace,Washington,317,/api/v1/venue/317/,DC,,20006
103,,,,318,/api/v1/venue/318/,,The Thompson Residence,
104,11921 Chanceford Drive,,Woodbridge,319,/api/v1/venue/319/,VA,Old Hickory Golf Club,22192
105,600 14th Street NW,,Washington,322,/api/v1/venue/322/,DC,Rooftop Cafe,20005
106,315 C Street NE,,Washington,325,/api/v1/venue/325/,DC,The Home of Julie Domenick,
107,500 Eighth Street NW,,Washington,326,/api/v1/venue/326/,DC,DLA Piper,20004
108,,,Bel Air,336,/api/v1/venue/336/,CA,The Home of Barbara Lindemann,
109,1750 16th Street NW,#83,Washington,339,/api/v1/venue/339/,DC,The Home of Tom Downey and Carol Browner,20009
110,30 Ivy Street SE,,Washington,340,/api/v1/venue/340/,DC,National Democratic Club,20003
111,555 13th St NW,#C2,Washington,341,/api/v1/venue/341/,DC,City Club of Washington Columbia Square,20004
112,1 Carolina Vista Drive,,Village of Pinehurst,342,/api/v1/venue/342/,NC,Pinehurst Resort,28374
113,101 Constitution Ave NW,Suite 325 E,Washington,343,/api/v1/venue/343/,DC,,20001
114,999 North Second Street,,St. Louis,347,/api/v1/venue/347/,MO,Four Seasons Hotel,63102
115,,,,348,/api/v1/venue/348/,,The Home of Senator Jay Rockefeller,
116,2315 S Street NW,,Washington,349,/api/v1/venue/349/,DC,The Home of Rep. Ellen Tauscher,20008
117,147 E Street SE,,Washington,354,/api/v1/venue/354/,DC,The Home of Jan Schoonmaker,20003
118,1350 I Street NW,Suite 690,Washington,355,/api/v1/venue/355/,DC,OB-C Group,20005
119,880 River Ave,,Bronx,364,/api/v1/venue/364/,NY,Yankee Stadium,10451
120,7 South 771 Dugan Road,,Sugar Grove,368,/api/v1/venue/368/,IL,Rich Harvest Farms,60554
121,1825 Eye Street NW,,Washington,369,/api/v1/venue/369/,DC,"Dickstein Shapiro, LLP",20006
122,412 10th Street SE,,Washington,375,/api/v1/venue/375/,DC,,20003
123,230 Second Street SE,,Washington,376,/api/v1/venue/376/,DC,Strategic Healthcare Townhouse,20003
124,409 G Street SE,,Washington,378,/api/v1/venue/378/,DC,The Home of John Milne and Debra Anderson,20003
125,601 Pennsylvania Ave NW,Suite 250,Washington,380,/api/v1/venue/380/,DC,JP Morgan Chase & Co.,20004
126,13075 Blairwood Drive,,Studio City,386,/api/v1/venue/386/,CA,The Home of Michael Mahdesian,91604
127,500 New Jersey Ave NW,,Washington,389,/api/v1/venue/389/,DC,National Association of Realtors,20001
128,1500 South Capitol Street SE,,Washington,390,/api/v1/venue/390/,DC,Nationals Park,20003
129,401 9th Street NW,Suite 400 South,Washington,395,/api/v1/venue/395/,DC,Rooftop of Locke Lord Strategies,20004
130,575 7th Street NW,,Washington,397,/api/v1/venue/397/,DC,Venable LLP,20004
131,,,Ft. Lauderdale,401,/api/v1/venue/401/,FL,,
132,1101 Pennsylvania Ave NW,,Washington,402,/api/v1/venue/402/,DC,Fogo De Chao,20004
133,1201 Pennsylvania Ave NW,,Washington,405,/api/v1/venue/405/,DC,"Covington & Burling, LLP",20004
134,421 New Jersey Ave SE,,Washington,412,/api/v1/venue/412/,DC,UPS Townhouse,20003
135,3823 Fordham Road NW,,Washington,413,/api/v1/venue/413/,DC,The Home of Steve & Vicki Hart,20016
136,,,Nantucket,414,/api/v1/venue/414/,MA,,
137,600 Water Street SW,,Washington,418,/api/v1/venue/418/,DC,Gangplank on the Potomac,20024
138,675 15th Street NW,,Washington,419,/api/v1/venue/419/,DC,Old Ebbitt Grill,20005
139,209 C Street NE,,Washington,421,/api/v1/venue/421/,DC,The Home of John Weinfurter,20002
140,500 New Jersey Ave NW,,Washington,422,/api/v1/venue/422/,DC,Billy Goat Tavern,20001
141,2345 Crystal Drive,Suite 300,Arlington,423,/api/v1/venue/423/,VA,PMA Group,22202
142,1300 Maine Ave SW,,Washington,425,/api/v1/venue/425/,DC,Celebrity,20024
143,412 First Street SE,3rd floor,Washington,426,/api/v1/venue/426/,DC,,20003
144,24 Gideon Putnam Road,,Saratoga Springs,428,/api/v1/venue/428/,NY,Gideon Putnam Resort,12866
145,10400 Good Luck Road,,Glen Dale,431,/api/v1/venue/431/,MD,Prince George's County Trap & Skeet Center,20768
146,,,,432,/api/v1/venue/432/,,The Cherry Blossom,
147,413 New Jersey Ave SE,,Washington,436,/api/v1/venue/436/,DC,Jacobs House,20003
148,249 E Crystal Downs Dr,,Frankfort,443,/api/v1/venue/443/,MI,Crystal Downs Country Club,49635
149,415 Seward Square SE,,Washington,447,/api/v1/venue/447/,DC,,20003
150,217 3rd Street SE,,Washington,449,/api/v1/venue/449/,DC,,20003
151,,,,459,/api/v1/venue/459/,,The Home of Jon Tester and Sharla Tester,
152,519 E Capitol Street SE,,Washington,462,/api/v1/venue/462/,DC,,20003
153,213 E Street NE,,Washington,464,/api/v1/venue/464/,DC,The Home of Robert Raben,20002
154,939 West 5th Ave,,Anchorage,465,/api/v1/venue/465/,AK,The Hotel Captain Cook,99501
155,101 Constitution Ave NW,Suite 400,Washington,467,/api/v1/venue/467/,DC,,20001
156,3734 South 13th Street,,Omaha,468,/api/v1/venue/468/,NE,Royal View Hall,68107
157,3017 N Glebe Road,,Arlington,475,/api/v1/venue/475/,VA,Washington Golf and Country Club,22207
158,2651 Woodley Road NW,,Washington,476,/api/v1/venue/476/,DC,The Home of Tony Podesta,20008
159,1766 Homestead Drive,,Hot Springs,482,/api/v1/venue/482/,VA,The Homestead,24445
160,1301 2nd Ave S,,Minneapolis,488,/api/v1/venue/488/,MN,Minneapolis Convention Center,55403
161,346 Arnold Palmer Drive,,Latrobe,491,/api/v1/venue/491/,PA,Latrobe Country Club,15650
162,2910 Blendon Road,,Owings Mills,492,/api/v1/venue/492/,MD,Caves Valley Golf Club,21117
163,1600 Seven Seas Drive,,Lake Buena Vista,494,/api/v1/venue/494/,FL,The Polynesian Resort,32830
164,975 F St NW,Ste 1000,Washington,498,/api/v1/venue/498/,DC,Kraft Foods Inc,20004
165,730 15th Street NW,10th Floor Veranda,Washington,509,/api/v1/venue/509/,DC,,20006
166,1735 Market Street,,Philadelphia,515,/api/v1/venue/515/,PA,42nd Floor,19103
167,308 2nd Street SE,,Washington,516,/api/v1/venue/516/,DC,Rep. Davis's Home,20003
168,801 Pennsylvania Ave NW,,Washington,519,/api/v1/venue/519/,DC,,20004
169,101 Constitution Ave NW,7th Floor,Washington,522,/api/v1/venue/522/,DC,,20001
170,,,,523,/api/v1/venue/523/,,The Home of Jack O'Rourke,
171,22616 James Monroe Highway,,Aldie,524,/api/v1/venue/524/,VA,Ritz Carlton Golf Club at Creighton Farms,20105
172,1201 Pennsylvania Ave NW,#100,Washington,525,/api/v1/venue/525/,DC,Brasserie Les Halles,20004
173,1001 LaFayette Drive,,Farmington,530,/api/v1/venue/530/,PA,Nemacolin Woodlands Resort,15437
174,218 Maryland Ave NE,,Washington,535,/api/v1/venue/535/,DC,The Webber House,20002
175,1100 New York Ave NW,Suite 200,Washington,538,/api/v1/venue/538/,DC,,20005
176,3014 New Mexico Ave,,Washington,540,/api/v1/venue/540/,DC,The Home of Christine Warnke,20016
177,1625 I St NW,,Washington,546,/api/v1/venue/546/,DC,BLT Steak,20006
178,600 13th Street NW,Suite 790,Washington,547,/api/v1/venue/547/,DC,The J.C. Watts Companies,20005
179,101 Constitution Ave NW,,Washington,549,/api/v1/venue/549/,DC,,20001
180,233 2nd Street NW,,Washington,559,/api/v1/venue/559/,DC,Hamilton's Bar & Grill,20001
181,419 New Jersey Ave SE,,Washington,561,/api/v1/venue/561/,DC,,20003
182,120 6th Street SE,,Washington,567,/api/v1/venue/567/,DC,The Home of JoDee Winterhof and Campbell Spencer,20003
183,1401 South Oak Knoll,,Pasadena,568,/api/v1/venue/568/,CA,"Langham, Huntington Hotel & Spa",91106
184,10 G Street NE,,Washington,570,/api/v1/venue/570/,DC,Interstate Natural Gas Association of America,20002
185,1401 H Street NW,#1200,Washington,577,/api/v1/venue/577/,DC,The Investment Company Institute,20005
186,50 F Street NW,Suite 900,Washington,579,/api/v1/venue/579/,DC,The Farm Credit Council,20001
187,700 Water Street SW,,Washington,583,/api/v1/venue/583/,DC,Zanzibar on the Waterfront,20024
188,3575 Jefferson Davis Highway,,Alexandria,584,/api/v1/venue/584/,VA,Regal Potomac Yard 16,22305
189,601 Constitution Ave NE,,Washington,587,/api/v1/venue/587/,DC,The Home of Barb Leach,20002
190,539 Eight Street SE,,Washington,588,/api/v1/venue/588/,DC,Starfish Cafe,20003
191,1645 Trap Road,,Vienna,592,/api/v1/venue/592/,VA,"Wolf Trap Foundation from the Performing Arts, Filene Center",22182
192,101 Constitution Ave NW,9th Floor,Washington,593,/api/v1/venue/593/,DC,,20001
193,53 D Street SE,,Washington,594,/api/v1/venue/594/,DC,Associated General Contractors (AGC) of America Townhouse,20003
194,310 First Street SE,,Washington,596,/api/v1/venue/596/,DC,National Republican Congressional Committee,20003
195,101 Constitution Ave NW,Suite 800,Washington,604,/api/v1/venue/604/,DC,,20001
196,156 North Carolina Ave SE,,Washington,609,/api/v1/venue/609/,DC,The Home of Chairwoman Louise Slaughter,20003
197,219 Pennsylvannia Ave SE,,Washington,611,/api/v1/venue/611/,DC,National Rural Electric Cooperative Association (NRECA),20003
198,300 Maryland Ave NE,,Washington,617,/api/v1/venue/617/,DC,Fed Ex Townhouse,20002
199,400 Massachusetts Ave NW,Unit 1220,Washington,618,/api/v1/venue/618/,DC,Congressman Turner's Condo,20001
200,325 Youngstown-Warren Road,,Niles,619,/api/v1/venue/619/,OH,McMenamy's Restaurant and Banquet Center,44446
201,2600 Benning Road NE,,Washington,637,/api/v1/venue/637/,DC,Langston Legacy Golf Course,20002
202,16 Vail Road,,Vail,639,/api/v1/venue/639/,CO,Vail Plaza Hotel & Club,81657
203,1010 Massachusetts Ave NW,Penthouse 202,Washington,642,/api/v1/venue/642/,DC,The Home of Rob Hall,20001
204,430 New Jersey Ave SE,,Washington,650,/api/v1/venue/650/,DC,,20003
205,321 17th Street,,Denver,664,/api/v1/venue/664/,CO,Brown Palace Hotel,80202
206,100 West 14th Ave Pkwy,,Denver,665,/api/v1/venue/665/,CO,Denver Art Museum,80204
207,,,,666,/api/v1/venue/666/,,Ocean (Cherry Creek),
208,1320 15th STREET,,Denver,667,/api/v1/venue/667/,CO,Alto Restaurant,80202
209,909 17th Street at Champa,,Denver,668,/api/v1/venue/668/,CO,Panzano,80202
210,1750 Welton Street,,Denver,669,/api/v1/venue/669/,CO,Grand Hyatt Denver,80202
211,1460 Larimer Street,,Denver,670,/api/v1/venue/670/,CO,Samba Room,80202
212,,,Denver,672,/api/v1/venue/672/,CO,,
213,,,Minneapolis,673,/api/v1/venue/673/,,,
214,601 Pennsylvania Ave NW,Suite 200,Washington,685,/api/v1/venue/685/,DC,Offices of Intuit,20004
215,3438 Old Shotgun Road,,Island Park,689,/api/v1/venue/689/,ID,Eagle Ridge Ranch,83429
216,1101 Pennsylvania Ave NW,Suite 1000,Washington,691,/api/v1/venue/691/,DC,Citi Roof-Top Terrace,20004
217,801 Pennsylvania Ave NW,Suite 325,Washington,705,/api/v1/venue/705/,DC,Balch & Bingham LLP,20004
218,901 F Street NW,,Washington,706,/api/v1/venue/706/,DC,McCormick & Schmicks Seafood Restaurant,20004
219,600 Pennsylvania Ave SE,Suite 200,Washington,714,/api/v1/venue/714/,DC,DCS Politics,20003
220,1333 New Hampshire Ave NW,,Washington,717,/api/v1/venue/717/,DC,Akin Gump Strauss Hauer & Feld LLP,20036
221,,,,718,/api/v1/venue/718/,,Speaker's Residence,
222,810 7th Street NW,,Washington,719,/api/v1/venue/719/,DC,RFD Washington,20001
223,1822 Blake Street,,Denver,721,/api/v1/venue/721/,CO,Vesta Dipping Grill,80202
224,600 Hennepin Ave S,Block E,Minneapolis,722,/api/v1/venue/722/,MN,Bellanotte Restaurant,55403
225,600 Maryland Ave SW,,Washington,723,/api/v1/venue/723/,DC,Cavarocchi Ruscio Dennis Associates LLC,20024
226,Â 333 West Camden Street,,Balitomore,731,/api/v1/venue/731/,MD,Oriole Park at Camden Yards Park,21201
227,17425 Airline Hwy,,Prairieville,737,/api/v1/venue/737/,LA,Frank's Smokehouse,70769
228,500 New Jersey Ave NW,Ste. 550,Washington,738,/api/v1/venue/738/,DC,BNSF RailPAC,20001
229,310 Links Lane,,Queenstown,743,/api/v1/venue/743/,MD,Queenstown Harbor,21658
230,575 Pennsylvania Ave NW,,Washington,747,/api/v1/venue/747/,DC,The Source by Wolfgang Puck,20001
231,775 12th Street NW,,Washington,752,/api/v1/venue/752/,DC,Marriott at Metro Center,20005
232,2100 Pennsylvania Ave NW,Suite 500,Washington,761,/api/v1/venue/761/,DC,Duberstein Group Inc.,20037
233,325 7th Street NW,Suite 600,Washington,765,/api/v1/venue/765/,DC,"Corning Inc., Government Affairs Office",20004
234,511 2nd Street NE,,Washington,766,/api/v1/venue/766/,DC,,20002
235,2 West Street,,New York,773,/api/v1/venue/773/,NY,"Ritz-Carlton, New York",10004
236,4400 NW 87th Ave,,Miami,774,/api/v1/venue/774/,FL,Blue Monster at Doral Golf Resort,33178
237,1319 F Street NW,,Washington,779,/api/v1/venue/779/,DC,Finemondo Restaurant,20004
238,122 C Street NW,Suite 875,Washington,780,/api/v1/venue/780/,DC,National Pork Producers Council,20001
239,816 East Capitol Street,,Washington,783,/api/v1/venue/783/,DC,The Home of Congresswoman Rose DeLauro,20003
240,1200 New Hampshire Ave NW,Frnt 1,Washington,784,/api/v1/venue/784/,DC,Melwah Resteraunt,20036
241,444 North Capitol Street NW,Suite 645,Washington,785,/api/v1/venue/785/,DC,National Marine Manufacturers Association,20001
242,8301 Old Keene Mill Road,,Springfield,787,/api/v1/venue/787/,VA,Springfield Golf and Country Club,22152
243,,,,788,/api/v1/venue/788/,MD,Andrews Air Force Base,20331
244,633 D Street NW,,Washington,792,/api/v1/venue/792/,DC,Rasika,20004
245,320 Massachusetts Ave NE,,Washington,794,/api/v1/venue/794/,DC,Two Quail Restaurant,20002
246,280 Vanderbilt Beach Road,,Naples,797,/api/v1/venue/797/,FL,"Ritz-Carlton, Naples",34108
247,1301 K Street NW,"Suite 600, East Tower",Washington,799,/api/v1/venue/799/,DC,"Sonnenchein, Nath & Rosenthal LLP",20005
248,"555 Pennsylvania Ave, NW",,Washington,804,/api/v1/venue/804/,DC,Newseum,20001
249,700 Water Street,,Denver,805,/api/v1/venue/805/,CO,Downtown Aquarium,80211
250,,,,806,/api/v1/venue/806/,,Ritz Carlton,
251,818 17th Street,,Denver,809,/api/v1/venue/809/,CO,Denver Magnolia Hotel,80202
252,2001 Blake St,,Denver,813,/api/v1/venue/813/,CO,Coors Field,80205
253,1634 18th Street,,Denver,815,/api/v1/venue/815/,CO,Wynkoop Brewing Company,80202
254,,,Denver,817,/api/v1/venue/817/,CO,Private Residence on 16th Street & Larimer Street,80202
255,1420 Larimer,,Denver,821,/api/v1/venue/821/,CO,Bistro Vendome,80202
256,2000 Elitch Circle,,Denver,822,/api/v1/venue/822/,CO,Elitch Gardens,80204
257,1225 19th Street NW,,Washington,823,/api/v1/venue/823/,DC,The Palm,20036
258,1401 Lee Highway,,Arlington,830,/api/v1/venue/830/,VA,Marriott Key Bridge,22209
259,199 West Kellogg Boulevard,,Saint Paul,837,/api/v1/venue/837/,MN,Xcel Energy Center,55102
260,1135 16th Street NW,,Washington,839,/api/v1/venue/839/,DC,University Club of Washington DC,20036
261,412 First St SE,2nd floor,Washington,841,/api/v1/venue/841/,DC,,20003
262,2406 North Main Street,,Fort Worth,842,/api/v1/venue/842/,TX,The Lonesome Dove Western Bistro,76164
263,43237 Golf View Drive,,South Riding,844,/api/v1/venue/844/,VA,South Riding Golf Club,20151
264,,,Bakersfield,845,/api/v1/venue/845/,CA,,
265,704 South 2nd Street,,Minneapolis,846,/api/v1/venue/846/,MN,The Mill City Museum,55401
266,225 South 3rd Ave,,Minneapolis,847,/api/v1/venue/847/,MN,The Depot Minneapolis,55401
267,112 East Hennepin Ave,,Minneapolis,848,/api/v1/venue/848/,MN,Nye's Polonaise Room,55414
268,101 Constitution Ave NW,"Independence Room, 8th Floor",Washington,849,/api/v1/venue/849/,DC,,20001
269,309 Southwest Broadway,,Portland,852,/api/v1/venue/852/,OR,The Benson,97205
270,205 Central Park Ave,,Virginia Beach,862,/api/v1/venue/862/,VA,Ruth's Chris Steak House,23462
271,330 Tijeras NW,,Albuquerque,874,/api/v1/venue/874/,NM,Hyatt Regency Albuquerque,87102
272,146 North Carolina Ave SE,,Washington,877,/api/v1/venue/877/,DC,The Home of Rick Jauert,20003
273,1330 Connecticut Ave NW,3rd floor,Washington,880,/api/v1/venue/880/,dc,,20036
274,613 Pennsylvania Ave SE,,Washington,884,/api/v1/venue/884/,DC,18th Amendment,20003
275,1745-61 Wazee Street,,Denver,888,/api/v1/venue/888/,CO,Sullivan's Steakhouse,80202
276,140 South Broad Street,,Philadelphia,890,/api/v1/venue/890/,PA,The Union League,19102
277,416 New Jersey Ave SE,,Washington,892,/api/v1/venue/892/,DC,,20003
278,1801 W International Speedway,,Daytona Beach,902,/api/v1/venue/902/,FL,Daytona International Speedway,32114
279,1700 K Street NW,Suite 300,Washington,909,/api/v1/venue/909/,DC,,20006
280,3951 West Maple Road,,Bloomfield Hills,917,/api/v1/venue/917/,MI,Oakland Hills Country Club,48301
281,29 Broad Street,,Nantucket,918,/api/v1/venue/918/,MA,Jared Coffin House,02554
282,2639 Quail Road,,Fall River,929,/api/v1/venue/929/,KS,Flint Oak,67047
283,446 New Jersey Ave SE,,Washington,931,/api/v1/venue/931/,DC,Rupli Townhouse,20003
284,6261 Nesbitt Road,,Madison,936,/api/v1/venue/936/,WI,Quivey's Grove,53719
