,bioguide_id,birthdate,cid,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party_x,phone,twitter_id,votesmart_id,webform,website,youtube_url,affiliate,bioguide,crp_id,district,id,image_available,name,party_y,resource_uri,state,title
88,,,,,,,,,,,,,,,,,,,,,,,,,,1002.0,False,Rob Wallace,,/api/v1/lawmaker/1002/,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,False,Michael S. Steele,R,/api/v1/lawmaker/1004/,MD,Rep.
90,,,,,,,,,,,,,,,,,,,,,,,,,,1008.0,False,Mike McGavick,R,/api/v1/lawmaker/1008/,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,1017.0,False,RedPac,,/api/v1/lawmaker/1017/,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,1022.0,False,Missourians for Accountability & Change PAC,,/api/v1/lawmaker/1022/,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,1025.0,False,WUFPAC,,/api/v1/lawmaker/1025/,,
94,,,,,,,,,,,,,,,,,,,,,,,,,9,1051.0,False,Bob Onder,R,/api/v1/lawmaker/1051/,MO,
95,,,,,,,,,,,,,,,,,,,,,,,,,,1057.0,False,Shjon Podeln Children's Foundation,,/api/v1/lawmaker/1057/,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,1058.0,False,Georgia Republican Party,,/api/v1/lawmaker/1058/,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,1059.0,False,SENATE REPUBLICAN CHIEFS OF STAFF,,/api/v1/lawmaker/1059/,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,1060.0,False,2008 Special Teams Committee,,/api/v1/lawmaker/1060/,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,False,D-B Victory,,/api/v1/lawmaker/1072/,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0,False,Florida-South Carolina Victory Committee,,/api/v1/lawmaker/1080/,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,1098.0,False,Ron Kaufman,,/api/v1/lawmaker/1098/,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,1099.0,False,Al Cardenas,,/api/v1/lawmaker/1099/,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,False,David Beightol,,/api/v1/lawmaker/1100/,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,1101.0,False,Brian Sailer,,/api/v1/lawmaker/1101/,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,False,Will McKinley,,/api/v1/lawmaker/1102/,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,1103.0,False,Van Poole,,/api/v1/lawmaker/1103/,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,1104.0,False,Craig Pattee,,/api/v1/lawmaker/1104/,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,1105.0,False,Gary Andres,,/api/v1/lawmaker/1105/,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,1106.0,False,Lee Cowen,,/api/v1/lawmaker/1106/,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,1107.0,False,Bill Simmons,,/api/v1/lawmaker/1107/,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,1113.0,False,Republican Members of the MO Delegation,,/api/v1/lawmaker/1113/,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,1124.0,False,Hope Farm,,/api/v1/lawmaker/1124/,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,1125.0,False,International Conservation Caucus Foundation,,/api/v1/lawmaker/1125/,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,1126.0,False,Texas State Society,,/api/v1/lawmaker/1126/,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,1127.0,False,Diane Freeman Foundation,,/api/v1/lawmaker/1127/,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,1128.0,False,NNPA Foundation,,/api/v1/lawmaker/1128/,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,1129.0,False,"NNPA Media
Services Wing at the John H. Johnson School of Journalism At Howard University",,/api/v1/lawmaker/1129/,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,False,Empowerment Network,,/api/v1/lawmaker/1130/,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,1133.0,False,State Society of Arizona,,/api/v1/lawmaker/1133/,,
120,,,,,,,,,,,,,,,,,,,,,,,,,,1134.0,False,Illinois State Society,,/api/v1/lawmaker/1134/,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,1135.0,False,Pennsylvania State Society,,/api/v1/lawmaker/1135/,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,1138.0,False,Armed Forces Relief Trust,,/api/v1/lawmaker/1138/,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,1139.0,False,Demand in DC,,/api/v1/lawmaker/1139/,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,1142.0,False,Event,,/api/v1/lawmaker/1142/,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,1145.0,False,Minnesota-Coleman Victory Committee,,/api/v1/lawmaker/1145/,,
126,,,,,,,,,,,,,,,,,,,,,,,,,3,1152.0,False,Vic Fazio,D,/api/v1/lawmaker/1152/,CA,Rep.
127,,,,,,,,,,,,,,,,,,,,,,,,,,1153.0,False,Jayne Fitzgerald,,/api/v1/lawmaker/1153/,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,1154.0,False,Joel Jankowsky,,/api/v1/lawmaker/1154/,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,1155.0,False,Valerie White,,/api/v1/lawmaker/1155/,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,1156.0,False,Feld Civic Action Committee,,/api/v1/lawmaker/1156/,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,1159.0,False,NRECA PAC,,/api/v1/lawmaker/1159/,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,1160.0,False,AF&PA PAC,,/api/v1/lawmaker/1160/,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,1178.0,False,Senate Democratic Caucus,,/api/v1/lawmaker/1178/,,
134,,,,,,,,,,,,,,,,,,,,,,,,,20,1192.0,False,Jim Tedisco,R,/api/v1/lawmaker/1192/,NY,
135,,,,,,,,,,,,,,,,,,,,,,,,,,1194.0,False,House Republican Freshman 2009,,/api/v1/lawmaker/1194/,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,1196.0,False,Davis,,/api/v1/lawmaker/1196/,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,1203.0,False,National Senatorial Campaign Committee,,/api/v1/lawmaker/1203/,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,1205.0,False,Liz Williams,,/api/v1/lawmaker/1205/,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,1206.0,False,Global Action for Children,,/api/v1/lawmaker/1206/,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,1208.0,False,Bluegrass Committee,,/api/v1/lawmaker/1208/,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,1215.0,False,Members of the House Democratic Caucus,,/api/v1/lawmaker/1215/,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,1223.0,False,North Dakota Democratic NPL,,/api/v1/lawmaker/1223/,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,1230.0,False,Idaho Congressional Award Council,,/api/v1/lawmaker/1230/,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,1232.0,False,Los Angeles League of Conservation Voters,,/api/v1/lawmaker/1232/,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,1233.0,False,Ted Kaufman,,/api/v1/lawmaker/1233/,,Sen.
146,,,,,,,,,,,,,,,,,,,,,,,,,,1235.0,False,National Republican Senatorial Committee,,/api/v1/lawmaker/1235/,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,1248.0,False,Keep Indiana Blue,,/api/v1/lawmaker/1248/,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,1259.0,False,Home of Dennis Mcgrann & Elena McGrann,,/api/v1/lawmaker/1259/,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,1263.0,False,DCCC Frontline Members of the House Agriculture Committee,,/api/v1/lawmaker/1263/,,
150,,,,,,,,,,,,,,,,,,,,,,,,,07,1265.0,False,Daniel Davis,D,/api/v1/lawmaker/1265/,IL,Rep.
151,,,,,,,,,,,,,,,,,,,,,,,,,34,1269.0,False,Allard,,/api/v1/lawmaker/1269/,CA,
152,,,,,,,,,,,,,,,,,,,,,,,,,,1275.0,False,Camp PAC,,/api/v1/lawmaker/1275/,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,1310.0,False,Americans for a Conservative Course,,/api/v1/lawmaker/1310/,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,1311.0,False,Linc PAC,,/api/v1/lawmaker/1311/,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,1312.0,False,Pennsylvania Republican Delegation,,/api/v1/lawmaker/1312/,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,1313.0,False,America's Republican Majority PAC,,/api/v1/lawmaker/1313/,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,1314.0,False,Texas GOP Delegation,,/api/v1/lawmaker/1314/,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,1321.0,False,DSCC Recount Fund,,/api/v1/lawmaker/1321/,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0,False,Congressional Tri-Caucus Staff Associations,,/api/v1/lawmaker/1329/,,
160,,,,,,,,,,,,,,,,,,,,,,,,,,1331.0,False,Female Members of the Ohio Congressional Delegation,,/api/v1/lawmaker/1331/,,
161,,,,,,,,,,,,,,,,,,,,,,,,,,1332.0,False,California Delegation,,/api/v1/lawmaker/1332/,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,1333.0,False,Foundation for Prader-Willi Research,,/api/v1/lawmaker/1333/,,
163,,,,,,,,,,,,,,,,,,,,,,,,,18,1336.0,False,Lehtinen,,/api/v1/lawmaker/1336/,FL,
164,,,,,,,,,,,,,,,,,,,,,,,,,5,1338.0,False,Waite,R,/api/v1/lawmaker/1338/,FL,
165,,,,,,,,,,,,,,,,,,,,,,,,,,1346.0,False,Ethan Hastert,R,/api/v1/lawmaker/1346/,IL,
166,,,,,,,,,,,,,,,,,,,,,,,,,,16603.0,False,YEAAA,,/api/v1/lawmaker/16603/,,
167,,,,,,,,,,,,,,,,,,,,,,,,,23,16604.0,False,Dierdre Scozzafava,R,/api/v1/lawmaker/16604/,NY,
168,,,,,,,,,,,,,,,,,,,,,,,,,,16605.0,False,Kendrick Meek,D,/api/v1/lawmaker/16605/,FL,
169,,,,,,,,,,,,,,,,,,,,,,,,,10,16611.0,False,Charlie Justice,D,/api/v1/lawmaker/16611/,FL,
170,,,,,,,,,,,,,,,,,,,,,,,,,23,16613.0,False,,D,/api/v1/lawmaker/16613/,NY,
171,,,,,,,,,,,,,,,,,,,,,,,,,1,16615.0,False,,R,/api/v1/lawmaker/16615/,NH,Mayor
172,,,,,,,,,,,,,,,,,,,,,,,,,,16616.0,False,,R,/api/v1/lawmaker/16616/,MA,State Sen.
173,,,,,,,,,,,,,,,,,,,,,,,,,1,18628.0,False,Cand. David Schwarz,R,/api/v1/lawmaker/18628/,GA,
174,,,,,,,,,,,,,,,,,,,,,,,,,,18736.0,,Bernie Herpin for state senate,,/api/v1/lawmaker/18736/,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,18738.0,,Angela Giron,,/api/v1/lawmaker/18738/,,State Sen.
176,,,,,,,,,,,,,,,,,,,,,,,,,,18755.0,,Valerie Arkoosh for Congress,,/api/v1/lawmaker/18755/,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,18734.0,,,,/api/v1/lawmaker/18734/,,Steve Lonegan f
178,,,,,,,,,,,,,,,,,,,,,,,,,,18718.0,,Faith Loudon for Congress,,/api/v1/lawmaker/18718/,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,18716.0,,Mowrer for Iowa,,/api/v1/lawmaker/18716/,,
180,,,,,,,,,,,,,,,,,,,,,,,,,,18611.0,False,Don H. Dwyer,R,/api/v1/lawmaker/18611/,MD,MD Delegate
181,,,,,,,,,,,,,,,,,,,,,,,,,,18594.0,False,Mike Pence,R,/api/v1/lawmaker/18594/,IN,Gov.
182,,,,,,,,,,,,,,,,,,,,,,,,,,18615.0,False,Kins Jeroboan,D,/api/v1/lawmaker/18615/,NY,Cand. for Sen.
183,,,,,,,,,,,,,,,,,,,,,,,,,,18627.0,False,Anthony Weiner,D,/api/v1/lawmaker/18627/,NY,
184,,,,,,,,,,,,,,,,,,,,,,Sen. John Boozman,,,,18622.0,False,ARK PAC,,/api/v1/lawmaker/18622/,,
