,cid,indivs,org_name,pacs,total,year,bioguide_id,birthdate,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party,phone,twitter_id,votesmart_id,webform,website,youtube_url
10,N00036154,30750,Archer & Greiner,0,30750,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
11,N00036154,28350,"Conner, Strong & Buckelew",0,28350,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
12,N00036154,16550,Gibbons PC,10000,26550,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
13,N00036154,6900,Blue Cross/Blue Shield,9200,16100,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
14,N00036154,8100,Cozen O'Connor,7491,15591,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
15,N00036154,12800,Calvi Electric,0,12800,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
16,N00036154,6470,Connell Foley LLP,5400,11870,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
17,N00036154,0,Public Service Enterprise Group,11246,11246,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
18,N00036154,1000,Lockheed Martin,10000,11000,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
19,N00036154,10850,Acacia Financial Group,0,10850,2016,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
20,N00036154,0,Ironworkers Union,20000,20000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
21,N00036154,0,International Brotherhood of Electrical Workers,10000,10000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
22,N00036154,0,Machinists/Aerospace Workers Union,10000,10000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
23,N00036154,0,UNITE HERE,10000,10000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
24,N00036154,0,American Bankers Assn,9400,9400,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
25,N00036154,1000,Lockheed Martin,7000,8000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
26,N00036154,0,Teamsters Union,7500,7500,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
27,N00036154,0,Sheet Metal/AC Contractors Assn,7000,7000,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
28,N00036154,5400,Celgene Corp,1000,6400,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
29,N00036154,5400,Brunetti Organization,0,5400,2018,N000188,1958-12-13,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
30,N00000851,23000,United Continental Holdings,14000,37000,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
31,N00000851,12450,Public Service Enterprise Group,10000,22450,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
32,N00000851,2600,Atlas Air Worldwide,10000,12600,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
33,N00000851,0,United Parcel Service,12500,12500,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
34,N00000851,10400,Kindle Ford,0,10400,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
35,N00000851,10400,Lunds Fisheries,0,10400,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
36,N00000851,250,Lockheed Martin,10000,10250,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
37,N00000851,0,AFL-CIO,10000,10000,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
38,N00000851,0,Air Line Pilots Assn,10000,10000,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
39,N00000851,0,Aircraft Owners & Pilots Assn,10000,10000,2014,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
40,N00000851,6750,Public Service Enterprise Group,10000,16750,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
41,N00000851,16200,Kindle Ford,0,16200,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
42,N00000851,0,United Continental Holdings,14000,14000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
43,N00000851,3700,Atlas Air Worldwide,10000,13700,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
44,N00000851,0,Boilermakers Union,11500,11500,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
45,N00000851,0,AFL-CIO,10000,10000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
46,N00000851,0,Air Line Pilots Assn,10000,10000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
47,N00000851,0,Allied Pilots Assn,10000,10000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
48,N00000851,0,Amalgamated Transit Union,10000,10000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
49,N00000851,0,American Council of Engineering Cos,10000,10000,2016,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
50,N00000851,0,Ocean Spray Cranberries,20000,20000,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
51,N00000851,0,Majority Cmte PAC,10000,10000,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
52,N00000851,0,United Transportation Union,8500,8500,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
53,N00000851,0,Boilermakers Union,7500,7500,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
54,N00000851,0,National Air Traffic Controllers Assn,7500,7500,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
55,N00000851,0,National Assn of Letter Carriers,7500,7500,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
56,N00000851,5505,Kline Construction,0,5505,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
57,N00000851,0,AFL-CIO,5500,5500,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
58,N00000851,5400,Cold Spring Fish & Supply Co,0,5400,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
59,N00000851,5400,Derossi & Son,0,5400,2018,L000554,1946-05-12,Retiring at end of 115th,2427 Rayburn House Office Building,4,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
60,N00036155,13600,York Risk Services Group,0,13600,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
61,N00036155,0,Freedom Project,10000,10000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
62,N00036155,0,New Pioneers PAC,10000,10000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
63,N00036155,0,Operating Engineers Union,10000,10000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
64,N00036155,6100,Odyssey Investment Partners,0,6100,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
65,N00036155,0,Republican Main Street Partnership,6000,6000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
66,N00036155,5200,Mah Inc,0,5200,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
67,N00036155,0,American Bankers Assn,5000,5000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
68,N00036155,0,American Dental Assn,5000,5000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
69,N00036155,4000,Amway/Alticor Inc,1000,5000,2014,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
70,N00036155,7750,Lockheed Martin,10000,17750,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
71,N00036155,0,Tuesday Group PAC,15000,15000,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
72,N00036155,13953,York Risk Services Group,0,13953,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
73,N00036155,11700,Holtec International,0,11700,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
74,N00036155,0,Exelon Corp,11000,11000,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
75,N00036155,10800,Capehart & Scatchard,0,10800,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
76,N00036155,10800,MAH Inc,0,10800,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
77,N00036155,0,Air Line Pilots Assn,10000,10000,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
78,N00036155,0,Carpenters & Joiners Union,10000,10000,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
79,N00036155,0,Eye of the Tiger PAC,10000,10000,2016,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
80,N00036155,79000,Votesane PAC,0,79000,2018,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
81,N00036155,0,More Conservatives PAC,15000,15000,2018,M001193,1960-10-16,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
